course_catalogue
code;title;coordinator;corequisite;prerequisite;corequisiteof;prerequisitecode
PRA3029;Advanced Organic Chemistry Laboratory;Matthew Baker;TRUE;TRUE;CHE3013;CHE2011
PRA3030;Finite Element Method;Harm Askes and Gerco Onderwater;FALSE;FALSE;;
PRA3031;Statistical Modelling;João Vargas;FALSE;FALSE;;
PRA3201;Island Studies: Fieldwork and Data Collection;Dr. Jesse Hennekam and Dr. Kyle Jazwa and Dr. Phil Klahs and George Mesher;TRUE;TRUE;INT3201+INT3202;PRA2009+INT1007+INT2012
PRA3503;Microbiome Analysis;Dr. Alexander Umanets;FALSE;TRUE;;INT3007/MAT2007
PRA3504;The Academic Life Cycle;Dr. Kyle Jazwa;FALSE;TRUE;;PRA2015
PRO1101;Introduction to Project Period;Dr. Kyle Jazwa and Dr. May Lee;FALSE;FALSE;;
PRO1000;Research Project;Lorenzo Reverberi;FALSE;FALSE;;
PRO2000/3000;Research Project;Lorenzo Reverberi;FALSE;FALSE;;
;Bachelor Thesis Research;Panos Christakoglou;FALSE;FALSE;;
